GS,BB,RBI,R,HR,InnOuts,ADJ Salary,ADJ Salary Group
115.0,49,55.0,47,19,3086.0,841857,0
61.0,22,29.0,33,6,1612.0,613353,0
29.0,35,9.0,16,3,825.0,1022255,1
138.0,39,41.0,49,10,3451.0,2346376,1
138.0,10,15.0,20,2,3451.0,2346376,1
15.0,29,9.0,20,1,459.0,1443184,1
55.0,8,22.0,17,4,1528.0,559233,0
93.0,26,21.0,54,0,2652.0,144318,0
141.0,29,59.0,53,10,3806.0,2585704,1
145.0,46,70.0,67,7,3926.0,1520153,1
114.0,84,61.0,42,12,3027.0,2565661,1
31.0,25,25.0,17,3,838.0,336742,0
6.0,5,6.0,8,0,307.0,360796,0
10.0,7,10.0,6,1,300.0,384849,0
101.0,58,40.0,50,1,2822.0,420928,0
162.0,35,81.0,80,17,4255.0,2345174,1
152.0,45,46.0,90,6,4003.0,1058334,1
134.0,31,74.0,54,10,3566.0,2092616,1
150.0,87,72.0,64,21,3953.0,336742,0
150.0,43,75.0,61,15,3952.0,360796,0
123.0,72,61.0,66,15,3235.0,2164776,1
62.0,32,31.0,31,5,1714.0,781724,0
148.0,41,55.0,63,6,3830.0,2734833,1
83.0,2,0.0,3,0,2187.0,1232719,1
83.0,29,21.0,43,0,2187.0,1232719,1
18.0,6,10.0,9,1,567.0,1052321,1
159.0,55,88.0,100,26,4167.0,300663,0
109.0,30,69.0,59,14,2799.0,962122,0
154.0,90,78.0,78,18,4014.0,541194,0
134.0,48,68.0,70,14,3567.0,745645,0
95.0,11,27.0,24,6,2442.0,440171,0
111.0,34,37.0,41,6,2892.0,275167,0
122.0,50,23.0,60,2,3064.0,420928,0
4.0,24,24.0,18,9,123.0,432955,0
154.0,44,84.0,71,28,4029.0,172219,0
121.0,57,56.0,41,19,3281.0,926043,0
120.0,38,61.0,50,16,3061.0,144318,0
126.0,62,56.0,53,13,3329.0,1322918,1
131.0,33,25.0,31,6,3454.0,1846072,1
131.0,17,22.0,22,3,3454.0,1846072,1
118.0,40,41.0,64,7,3189.0,324716,0
80.0,22,20.0,36,5,2044.0,661459,0
33.0,1,0.0,1,0,810.0,1202653,1
33.0,0,2.0,0,0,810.0,1202653,1
33.0,5,6.0,4,1,810.0,1202653,1
124.0,21,62.0,49,17,3290.0,2164776,1
16.0,2,6.0,8,0,509.0,473845,0
16.0,3,4.0,2,0,509.0,473845,0
47.0,20,19.0,17,6,1284.0,1112454,1
115.0,40,25.0,36,3,3076.0,1707079,1
50.0,30,24.0,24,4,1371.0,901990,0
5.0,10,6.0,7,1,176.0,384849,0
70.0,19,30.0,24,3,1909.0,1352985,1
70.0,5,19.0,14,6,1909.0,1352985,1
125.0,83,87.0,71,22,3277.0,3740251,1
149.0,50,40.0,107,1,3998.0,144318,0
11.0,4,7.0,11,0,426.0,1683714,1
6.0,2,8.0,5,0,199.0,324716,0
158.0,80,110.0,97,8,4212.0,1346971,1
25.0,31,11.0,14,0,833.0,481061,0
38.0,19,21.0,21,4,1134.0,502107,0
146.0,34,82.0,114,10,3873.0,1142520,1
145.0,37,69.0,56,5,3821.0,270597,0
68.0,41,36.0,30,10,1853.0,1779926,1
146.0,15,7.0,15,0,3382.0,1779926,1
146.0,41,41.0,77,6,3382.0,1779926,1
158.0,65,54.0,70,6,4221.0,3463641,1
111.0,47,55.0,61,13,3043.0,408902,0
16.0,14,6.0,17,1,467.0,841857,0
119.0,113,44.0,65,9,3071.0,1563449,1
3.0,31,56.0,31,12,60.0,1643625,1
3.0,9,10.0,4,1,60.0,1643625,1
15.0,11,23.0,14,5,525.0,282623,0
98.0,36,42.0,63,18,2554.0,144318,0
153.0,69,92.0,69,22,4040.0,396875,0
70.0,33,51.0,44,17,1789.0,1346971,1
99.0,20,35.0,34,8,2501.0,517140,0
13.0,1,12.0,5,1,329.0,601326,0
89.0,21,18.0,45,1,2412.0,324716,0
35.0,6,6.0,5,2,885.0,444981,0
35.0,15,11.0,14,5,885.0,444981,0
151.0,39,70.0,77,15,3917.0,1731820,1
93.0,25,18.0,21,2,2480.0,962122,0
152.0,66,84.0,94,27,4071.0,781724,0
157.0,43,95.0,87,28,4134.0,805777,0
158.0,43,51.0,71,2,4248.0,306676,0
142.0,15,65.0,70,8,3508.0,1779926,1
74.0,21,37.0,33,7,2213.0,617362,0
32.0,10,14.0,11,4,810.0,857010,0
19.0,11,15.0,23,2,434.0,444981,0
19.0,8,13.0,10,3,434.0,444981,0
151.0,76,70.0,92,18,3979.0,1413117,1
102.0,55,57.0,55,10,2507.0,781724,0
129.0,48,65.0,79,15,3540.0,1755873,1
113.0,47,64.0,55,19,3094.0,889963,0
49.0,15,13.0,11,0,1287.0,1334199,1
12.0,15,14.0,13,2,385.0,1816994,1
0.0,0,1.0,2,0,0.0,472282,0
65.0,29,30.0,26,8,1717.0,1003601,1
137.0,52,87.0,70,27,3563.0,4250545,1
139.0,66,36.0,42,4,3533.0,1192514,1
78.0,21,27.0,46,4,2187.0,236141,0
78.0,21,27.0,46,4,2187.0,1180707,1
58.0,11,20.0,22,7,1562.0,608064,0
58.0,1,0.0,1,0,1562.0,608064,0
159.0,75,83.0,89,29,4173.0,4309580,1
138.0,83,48.0,62,5,3709.0,1948166,1
122.0,21,33.0,57,8,3241.0,1948166,1
43.0,14,14.0,23,6,1121.0,1109864,1
18.0,12,25.0,14,4,569.0,2361414,1
79.0,8,32.0,26,6,2146.0,141684,0
