playerID,yearID,ADJ Salary,GS,InnOuts,PO,A,E,DP,G,AB,R,H,twoB,threeB,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
tejadru01,2013.7142857142858,13.811298658246686,66.85714285714286,1814.142857142857,88.71428571428571,193.14285714285714,7.857142857142857,42.57142857142857,74.28571428571429,238.42857142857142,25.142857142857142,58.714285714285715,12.714285714285714,0.0,1.4285714285714286,16.714285714285715,1.5714285714285714,1.4285714285714286,22.714285714285715,41.57142857142857,2.7142857142857144,4.0,2.7142857142857144,1.7142857142857142,4.142857142857143
templga01,1988.375,14.355048689114133,113.25,3034.375,217.625,329.875,17.625,62.875,118.875,401.875,36.875,99.75,17.5,3.0,4.25,38.5,6.625,3.125,24.375,61.625,11.0,0.375,4.25,2.625,10.0
terdojo01,2015.0,13.225217755320717,11.0,292.0,87.0,10.0,0.0,12.0,28.0,56.0,5.0,12.0,4.0,1.0,1.0,4.0,0.0,0.0,3.0,14.0,1.0,0.0,0.0,0.0,1.0
terrelu01,2005.0,12.960756972605688,43.0,1296.0,124.0,1.0,2.0,0.0,88.0,161.0,23.0,37.0,6.0,1.0,4.0,20.0,3.0,2.0,14.0,40.0,0.0,6.0,2.0,1.0,5.0
tettlmi01,1991.3,14.255649780271503,84.9,2215.2,413.4,34.3,4.7,9.8,127.1,408.4,64.2,98.1,18.4,1.4,22.7,67.1,2.1,2.6,87.9,114.5,6.9,2.5,1.5,4.4,6.7
teufeti01,1989.2,13.71128553501651,73.1,1977.7,169.8,182.0,8.1,33.3,89.5,246.6,32.8,61.6,14.8,0.8,6.9,31.2,2.2,1.6,30.9,45.0,1.5,1.0,2.3,2.0,6.6
thameer01,2012.0,13.21354322091949,70.0,1860.0,145.0,1.0,3.0,0.0,43.0,135.5,13.5,31.5,6.0,1.5,4.5,12.5,0.5,0.5,7.5,43.5,0.0,0.5,0.5,1.0,3.5
thamema01,2008.5,13.849388724404799,42.0,953.3333333333334,97.5,3.8333333333333335,2.5,5.166666666666667,84.0,244.83333333333334,34.5,61.5,11.0,0.6666666666666666,16.0,41.0,0.5,1.1666666666666667,21.0,68.0,0.5,1.5,0.0,2.1666666666666665,4.0
theriry01,2009.5714285714287,14.1070589661322,125.71428571428571,3388.285714285714,203.28571428571428,330.57142857142856,12.428571428571429,71.42857142857143,119.57142857142857,442.7142857142857,58.42857142857143,123.57142857142857,18.0,2.142857142857143,2.0,34.42857142857143,15.428571428571429,6.714285714285714,38.142857142857146,51.857142857142854,1.0,2.5714285714285716,6.0,2.2857142857142856,12.0
tholejo01,2013.5,13.788476150312803,51.5,1357.5,380.5,23.166666666666668,2.3333333333333335,2.1666666666666665,64.66666666666667,180.16666666666666,13.333333333333334,41.666666666666664,7.333333333333333,0.16666666666666666,1.0,14.166666666666666,0.0,0.8333333333333334,17.833333333333332,30.666666666666668,2.0,1.1666666666666667,2.0,1.0,5.5
